T, Cp, H, S
14500, 22.931842857, 323793.997549, 243.248431609
14600, 22.9235291808, 326086.766289, 243.406010869
14700, 22.9152034484, 328378.702983, 243.5624577
14800, 22.9068746481, 330669.806876, 243.717787404
14900, 22.8985520399, 332960.078119, 243.872015038
15000, 22.8902451933, 335249.517809, 244.025155419
15100, 22.8819640259, 337538.128013, 244.177223132
15200, 22.8737188447, 339825.911813, 244.328232542
15300, 22.8655203881, 342112.873339, 244.478197799
15400, 22.8573798702, 344399.017821, 244.627132848
15500, 22.8493090261, 346684.351635, 244.775051439
15600, 22.8413201597, 348968.882358, 244.921967132
15700, 22.8334261928, 351252.61883, 245.067893308
15800, 22.8256407158, 353535.571212, 245.212843179
15900, 22.8179780406, 355817.751065, 245.356829793
16000, 22.810453255, 358099.171416, 245.499866044
16100, 22.8030822787, 360379.846842, 245.641964685
16200, 22.7958819218, 362659.793558, 245.783138331
16300, 22.7888699442, 364939.029505, 245.923399469
16400, 22.7820651173, 367217.574451, 246.062760472
16500, 22.7754872873, 369495.450094, 246.201233602
16600, 22.7691574404, 371772.680173, 246.338831024
16700, 22.7630977694, 374049.290586, 246.475564811
16800, 22.7573317422, 376325.309513, 246.611446959
16900, 22.7518841721, 378600.767548, 246.746489391
17000, 22.7467812894, 380875.697836, 246.880703971
17100, 22.7420508146, 383150.136218, 247.014102513
17200, 22.7377220334, 385424.121387, 247.146696788
17300, 22.7338258733, 387697.695043, 247.27849854
17400, 22.7303949807, 389970.902068, 247.40951949
17500, 22.7274638005, 392243.790695, 247.539771351
17600, 22.725068656, 394516.412694, 247.669265839
17700, 22.7232478313, 396788.823568, 247.79801468
17800, 22.7220416529, 399061.082746, 247.926029623
17900, 22.7214925745, 401333.253799, 248.053322454
18000, 22.721645261, 403605.404651, 248.179905001
18100, 22.7225466746, 405877.607806, 248.305789152
18200, 22.7242461609, 408149.940585, 248.430986863
18300, 22.726795536, 410422.485365, 248.555510169
18400, 22.7302491742, 412695.329832, 248.679371201
18500, 22.7346640961, 414968.56724, 248.802582192
18600, 22.7401000572, 417242.296682, 248.925155491
18700, 22.7466196362, 419516.623368, 249.047103579
18800, 22.7542883242, 421791.65891, 249.168439078
18900, 22.7631746132, 424067.521617, 249.289174762
19000, 22.7733500851, 426344.336802, 249.409323576
19100, 22.7848894997, 428622.237095, 249.528898642
19200, 22.7978708827, 430901.362764, 249.647913279
19300, 22.8123756135, 433181.862046, 249.766381008
19400, 22.8284885116, 435463.891488, 249.884315572
19500, 22.8462979223, 437747.616294, 250.001730949
19600, 22.8658958021, 440033.210684, 250.11864136
19700, 22.8873778018, 442320.858255, 250.235061289
19800, 22.9108433496, 444610.752358, 250.351005491
19900, 22.9363957313, 446903.096481, 250.466489013
20000, 22.9641421703, 449198.104635, 250.581527198
20100, 22.9941939045, 451496.001754, 250.696135709
20200, 23.0266662621, 453797.024099, 250.810330534
20300, 23.061678735, 456101.419672, 250.924128006
20400, 23.0993550496, 458409.448636, 251.037544815
20500, 23.1398232352, 460721.38374, 251.150598021
20600, 23.1832156901, 463037.510754, 251.263305069
20700, 23.2296692441, 465358.128909, 251.375683801
