T, Cp, H, S
5300, 21.56788395352023, 110730.41805032964, 214.90027920935609
5400, 21.64944212274227, 112891.2465339635, 215.30418176908037
5500, 21.735511166834403, 115060.4568572546, 215.70221076447672
5600, 21.82602485158327, 117238.49694073015, 216.09465858791862
5700, 21.920900108406027, 119425.80723079506, 216.48180078231067
5800, 22.020038133296747, 121622.81907090967, 216.8638969300401
5900, 22.123325517906228, 123829.95318439614, 217.24119148502098
6000, 22.230635398526054, 126047.61827135808, 217.61391455398945
6100, 22.341828610724868, 128276.20972087537, 217.9822826322773
6200, 22.456754839189692, 130516.10843850317, 218.34649929850846
6300, 22.575253753953124, 132767.67978814122, 218.70675587201475
6400, 22.697156125640763, 135031.2726465328, 219.06323203622009
6500, 22.822284913659942, 137307.21856798127, 219.41609643078417
6600, 22.950456322380376, 139595.83105632168, 219.76550721491702
6700, 23.081480821342595, 141897.40494074178, 220.11161260395247
6800, 23.215164126383826, 144212.2158516916, 220.45455138100215
6900, 23.351308139306937, 146540.51979285048, 220.7944533852824
7000, 23.489711844348864, 148882.55280491264, 221.13143997852077
7100, 23.63017216024394, 151238.53071680776, 221.4656244906839
7200, 23.772484747135206, 153608.6489798744, 221.79711264613644
7300, 23.916444767974966, 155993.08258045078, 222.12600297122506
7400, 24.06184760438312, 158391.98602632768, 222.45238718418346
7500, 24.208489527207306, 160805.4934025188, 222.77635056817334
7600, 24.356168322260167, 163233.71849184152, 223.09797232820347
7700, 24.50468387190207, 165676.7549558573, 223.41732593261054
7800, 24.653838693298802, 168134.67657179644, 223.73447943973196
7900, 24.80343843431765, 170607.53752118215, 224.04949581035686
8000, 24.953292328135696, 173095.37272597055, 224.3624332065023
8100, 25.103213607725177, 175598.19822813515, 224.67334527702823
8200, 25.253019881455103, 178116.011608745, 224.98228143057554
8300, 25.402533471108075, 180648.7924427132, 225.28928709628565
8400, 25.551581713659246, 183196.50278552313, 225.59440397273718
8500, 25.6999972282012, 185759.08768837873, 225.89767026551638
8600, 25.847618149427298, 188336.47573836314, 226.19912091381872
8700, 25.994288329103963, 190928.5796203331, 226.49878780646492
8800, 26.13985750697984, 193535.29669742033, 226.79669998769916
8900, 26.28418145258103, 196156.50960715624, 227.09288385312533
9000, 26.42712207934668, 198792.08687038074, 227.38736333612536
9100, 26.568547532552586, 201441.8835102421, 227.68016008509258
9200, 26.708332252464917, 204105.7416787398, 227.97129363180474
9300, 26.846357014150247, 206783.49128840075, 228.26078155124998
9400, 26.982508945352055, 209474.95064682976, 228.5486396132134
9500, 27.116681523826568, 212179.92709201341, 228.83488192592264
9600, 27.24877455550112, 214898.2176263791, 229.11952107204212
9700, 27.378694134798543, 217629.6095477741, 229.40256823730124
9800, 27.50635258843673, 220373.88107563657, 229.68403333203332
9900, 27.631668403980704, 223130.801970773, 229.96392510589558
10000, 27.754566144396055, 225900.13414728586, 230.24225125603522
10100, 27.874976349807003, 228681.63227529867, 230.5190185289577
10200, 27.992835427632226, 231475.04437327434, 230.79423281635238
10300, 28.10808553222869, 234280.11238880883, 231.06789924511827
10400, 28.220674435130686, 237096.57276690885, 231.3400222618315
10500, 28.330555386932765, 239924.15700487237, 231.6106057118894
10600, 28.4376869718208, 242762.59219297493, 231.87965291355803
10700, 28.542032955707214, 245611.6015402856, 232.14716672714673
10800, 28.643562128893457, 248470.90488502017, 232.41314961952455
10900, 28.742248144117962, 251340.2191889126, 232.67760372419485
11000, 28.838069350826565, 254219.25901519478, 232.94053089712764
11100, 28.931008626440303, 257107.73698986557, 233.20193276855113
11200, 29.021053205357646, 260005.36424594317, 233.46181079089658
11300, 29.108194506382663, 262911.8508505504, 233.72016628308674
11400, 29.19242795922793, 265826.90621468524, 233.97700047134475
11500, 29.27375283069338, 268750.23948561295, 234.2323145267075
11600, 29.352172051093348, 271681.55992190936, 234.48610959940765
11700, 29.42769204143966, 274620.57725114154, 234.73838685029426
11800, 29.500322541875775, 277567.0020103674, 234.9891474794505
11900, 29.57007644179267, 280520.54586952226, 235.2383927521626
12000, 29.636969612041256, 283480.9219379425, 235.4861240223876
12100, 29.701020739602317, 286447.84505422844, 235.73234275386866
12200, 29.762251165046052, 289421.03205968527, 235.97705053902723
12300, 29.820684723095386, 292400.2020557234, 236.22024911577162
12400, 29.8763475865299, 295385.07664538955, 236.46194038234884
12500, 29.92926811370347, 298375.3801595594, 236.70212641035744
