T, Cp, H, S
30900, 35.978692967, 1907170.30773, 318.334793076
31000, 35.6878917782, 1910753.58119, 318.450569632
31100, 35.4037001789, 1914308.1064, 318.565047439
31200, 35.1259544596, 1917834.53609, 318.678255791
31300, 34.8544949213, 1921333.50683, 318.790223182
31400, 34.5891657986, 1924805.63941, 318.900977331
31500, 34.329815183, 1928251.53926, 319.010545205
31600, 34.0762949447, 1931671.79679, 319.118953036
31700, 33.828460655, 1935066.98778, 319.226226349
31800, 33.5861715088, 1938437.67376, 319.332389975
31900, 33.3492902467, 1941784.40234, 319.437468076
32000, 33.1176830779, 1945107.70761, 319.541484164
32100, 32.8912196035, 1948408.11041, 319.644461118
32200, 32.6697727404, 1951686.11874, 319.746421203
32300, 32.4532186454, 1954942.22805, 319.847386087
32400, 32.2414366409, 1958176.92154, 319.94737686
32500, 32.0343091405, 1961390.67052, 320.046414051
32600, 31.8317215766, 1964583.93469, 320.144517641
32700, 31.6335623279, 1967757.16244, 320.241707084
32800, 31.4397226486, 1970910.79114, 320.338001315
32900, 31.2500965988, 1974045.24743, 320.433418774
33000, 31.064580975, 1977160.94747, 320.527977412
33100, 30.8830752434, 1980258.29728, 320.621694711
33200, 30.7054814728, 1983337.69292, 320.714587696
33300, 30.5317042698, 1986399.52079, 320.806672945
33400, 30.3616507147, 1989444.15789, 320.897966607
33500, 30.1952302984, 1992471.97204, 320.988484411
33600, 30.0323548618, 1995483.32211, 321.07824168
33700, 29.8729385346, 1998478.55831, 321.167253339
33800, 29.716897677, 2001458.02233, 321.255533934
33900, 29.5641508216, 2004422.04764, 321.343097633
34000, 29.4146186174, 2007370.95965, 321.429958246
34100, 29.2682237741, 2010305.07594, 321.516129229
34200, 29.1248910086, 2013224.70647, 321.601623698
34300, 28.9845469919, 2016130.15377, 321.686454436
34400, 28.847120298, 2019021.71311, 321.770633904
34500, 28.7125413535, 2021899.67275, 321.85417425
34600, 28.5807423883, 2024764.31405, 321.937087317
34700, 28.4516573881, 2027615.91169, 322.019384654
34800, 28.3252220475, 2030454.73385, 322.101077522
34900, 28.2013737243, 2033281.04233, 322.182176902
35000, 28.0800513955, 2036095.09279, 322.262693504
35100, 27.9611956135, 2038897.13483, 322.342637777
35200, 27.8447484642, 2041687.4122, 322.422019911
35300, 27.7306535259, 2044466.16293, 322.500849849
35400, 27.6188558287, 2047233.61948, 322.579137289
35500, 27.5093018163, 2049990.00888, 322.656891699
35600, 27.4019393073, 2052735.55289, 322.734122313
35700, 27.2967174583, 2055470.4681, 322.810838146
35800, 27.1935867281, 2058194.96608, 322.887047997
35900, 27.0924988424, 2060909.25354, 322.962760453
36000, 26.9934067594, 2063613.53238, 323.037983899
36100, 26.8962646371, 2066307.99988, 323.11272652
36200, 26.8010278004, 2068992.84881, 323.186996308
36300, 26.7076527098, 2071668.2675, 323.260801068
36400, 26.6160969308, 2074334.44, 323.334148421
36500, 26.526319104, 2076991.54615, 323.407045811
36600, 26.4382789161, 2079639.76174, 323.47950051
36700, 26.3519370718, 2082279.25855, 323.55151962
36800, 26.2672552659, 2084910.20449, 323.623110083
36900, 26.1841961574, 2087532.76369, 323.694278677
37000, 26.1027233427, 2090147.09659, 323.765032028
37100, 26.0228013308, 2092753.36005, 323.835376612
37200, 25.9443955188, 2095351.7074, 323.905318757
37300, 25.8674721676, 2097942.28857, 323.974864648
37400, 25.791998379, 2100525.25015, 324.044020332
37500, 25.7179420734, 2103100.73549, 324.112791721
37600, 25.645271967, 2105668.88477, 324.181184595
37700, 25.5739575513, 2108229.83507, 324.249204605
37800, 25.5039690719, 2110783.72048, 324.316857279
37900, 25.4352775084, 2113330.67212, 324.384148023
38000, 25.3678545549, 2115870.81826, 324.451082123
38100, 25.3016726008, 2118404.28439, 324.517664752
38200, 25.2367047123, 2120931.19325, 324.58390097
38300, 25.1729246144, 2123451.66493, 324.649795728
38400, 25.1103066734, 2125965.81691, 324.715353871
38500, 25.0488258797, 2128473.76417, 324.780580139
38600, 24.9884578315, 2130975.61918, 324.845479172
38700, 24.9291787187, 2133471.49203, 324.910055511
38800, 24.8709653067, 2135961.49045, 324.974313603
38900, 24.8137949222, 2138445.71986, 325.038257799
39000, 24.7576454374, 2140924.28346, 325.10189236
39100, 24.7024952562, 2143397.28226, 325.165221459
39200, 24.6483233001, 2145864.81512, 325.228249182
39300, 24.5951089946, 2148326.97884, 325.290979531
39400, 24.542832256, 2150783.86817, 325.353416424
39500, 24.4914734786, 2153235.57589, 325.415563702
39600, 24.441013522, 2155682.19283, 325.477425126
39700, 24.3914336994, 2158123.80793, 325.53900438
39800, 24.3427157652, 2160560.50829, 325.600305077
39900, 24.2948419042, 2162992.37922, 325.661330753
40000, 24.2477947198, 2165419.50423, 325.722084877
40100, 24.2015572238, 2167841.96515, 325.782570848
40200, 24.1561128252, 2170259.84211, 325.842791998
40300, 24.1114453205, 2172673.21361, 325.902751592
40400, 24.0675388834, 2175082.15654, 325.962452833
40500, 24.0243780551, 2177486.74624, 326.02189886
40600, 23.9819477351, 2179887.05651, 326.081092753
